"","x"
"1",4
"2",4
"3",4
"4",4
"5",4
"6",4
"7",2
"8",4
"9",4
"10",4
"11",4
"12",4
"13",4
"14",4
"15",4
"16",4
"17",4
"18",2
"19",4
"20",4
"21",4
"22",4
"23",4
"24",4
"25",4
"26",4
"27",4
"28",4
"29",4
"30",2
"31",2
"32",2
"33",2
"34",2
"35",2
"36",4
"37",4
"38",2
"39",2
"40",2
"41",4
"42",4
"43",2
"44",2
"45",2
"46",2
"47",4
"48",4
"49",2
"50",2
"51",2
"52",4
"53",2
"54",4
"55",2
"56",2
"57",2
"58",4
"59",2
"60",1
"61",3
"62",3
"63",3
"64",3
"65",4
"66",4
"67",4
"68",3
"69",4
"70",4
"71",3
"72",3
"73",2
"74",2
"75",2
"76",4
"77",3
"78",3
"79",2
"80",2
"81",2
"82",3
"83",2
"84",2
"85",2
"86",2
"87",2
"88",2
"89",2
"90",2
"91",2
"92",3
"93",3
"94",3
"95",2
"96",3
"97",3
"98",3
"99",1
"100",3
"101",3
"102",3
"103",1
"104",3
"105",1
"106",1
"107",1
"108",1
"109",1
"110",1
"111",2
"112",2
"113",1
"114",1
"115",1
"116",1
"117",3
"118",3
"119",3
"120",1
"121",1
"122",1
"123",3
"124",4
"125",4
"126",1
"127",1
"128",3
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",3
"138",3
"139",1
"140",1
"141",1
"142",3
"143",1
"144",3
"145",1
"146",1
"147",3
"148",3
"149",1
"150",1
"151",1
"152",1
"153",1
"154",1
"155",3
"156",1
"157",1
"158",3
"159",3
"160",3
"161",1
"162",3
"163",3
"164",1
"165",3
"166",1
"167",1
"168",3
"169",3
"170",1
"171",1
"172",1
"173",3
"174",1
"175",1
"176",3
"177",1
"178",1
"179",1
"180",1
"181",3
"182",1
"183",1
"184",1
"185",1
"186",4
"187",1
"188",1
"189",3
"190",3
"191",3
"192",3
"193",2
"194",2
"195",2
"196",2
"197",2
"198",2
"199",2
"200",2
"201",2
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",2
"209",2
"210",2
"211",2
"212",2
"213",2
"214",2
"215",2
"216",2
"217",2
"218",2
"219",2
"220",2
"221",3
"222",3
"223",3
"224",3
"225",3
"226",3
"227",1
"228",1
"229",1
"230",3
"231",1
"232",3
"233",3
"234",1
"235",1
"236",3
"237",3
"238",3
"239",3
"240",1
"241",1
"242",1
"243",3
"244",3
"245",3
"246",3
"247",3
"248",1
"249",3
"250",3
"251",3
"252",1
"253",1
"254",2
"255",3
"256",3
"257",3
"258",3
"259",3
"260",3
"261",3
"262",3
"263",3
"264",3
"265",3
"266",3
"267",3
"268",3
"269",3
"270",3
"271",3
"272",3
"273",1
"274",1
"275",1
"276",3
"277",3
"278",4
"279",4
"280",4
"281",4
"282",4
"283",4
"284",4
"285",4
"286",4
"287",4
"288",4
"289",4
"290",4
"291",4
"292",4
"293",4
"294",2
"295",3
"296",4
"297",3
"298",1
